common_nam,season,Segment_ID
Horned Grebe,breeding,"16,24,31,36,60,66,90,95"
Horned Grebe,nonbreeding,101
Horned Grebe,postbreeding_migration,"3,6,16,17,19,22,24,25,31,33,34,35,36,38,42,47,48,49,50,51,56,60,61,63,64,66,67,68,72,75,81,82,89,90,95,96,98,99,100,101,103,105,107,108,110,113,114,118"
Horned Grebe,prebreeding_migration,"7,12,13,14,16,17,19,22,24,26,27,31,33,34,36,42,47,48,49,50,51,53,55,56,57,59,60,61,64,65,66,67,68,69,70,72,81,82,86,89,90,91,93,95,96,98,99,100,101,105,108,114,115,117,118,120"
Peregrine Falcon,breeding,"5,16,17,24,26,31,36,56,60,66,90,95"
Peregrine Falcon,nonbreeding,"1,3,7,8,10,16,19,20,24,25,31,35,36,49,50,51,60,63,66,68,74,75,90,95,98,103,112,113,120"
Peregrine Falcon,postbreeding_migration,"1,3,7,8,9,10,12,13,16,17,18,19,20,21,22,24,25,26,27,29,31,33,35,36,39,40,42,47,49,50,51,53,55,56,57,59,60,61,63,65,66,67,68,69,70,71,72,74,75,79,81,85,90,91,93,95,97,98,101,103,107,112,113,114,115,117,118,120"
Peregrine Falcon,prebreeding_migration,"7,8,14,16,19,24,27,31,33,36,49,60,66,90,95,97,101,119,120"
Snow Goose,breeding,"29,56,71,107"
Snow Goose,postbreeding_migration,"1,3,7,8,10,12,14,15,16,17,18,19,20,22,24,25,26,27,29,31,32,33,35,36,42,44,47,49,50,51,56,57,58,59,60,61,63,66,67,68,71,72,74,75,81,85,90,91,93,95,96,97,98,101,103,107,112,113,114,115,118,120"
Snow Goose,prebreeding_migration,"1,3,7,8,9,10,12,13,14,15,16,17,18,19,20,21,22,24,25,26,27,29,30,31,32,33,34,35,36,39,40,42,43,44,47,48,49,50,51,55,56,57,58,59,60,61,63,64,65,66,67,68,69,70,71,72,75,76,79,81,82,85,89,90,91,92,93,94,95,96,97,98,99,100,101,103,105,107,108,112,113,114,115,116,117,118,120"
